DATE,OPP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,REB,AST,TO,STL,BLK,PF,PTS,PRA,NAME,TEAM
"Fri, Dec 15",@ TOR,35,9,12,0,0,0,0,15,0,1,0,3,2,18,33,Clint Capela,ATL
"Wed, Dec 13",@ TOR,34,7,12,0,0,3,4,10,1,0,0,3,3,17,28,Clint Capela,ATL
"Mon, Dec 11",vs. DEN,28,6,11,0,0,2,2,8,2,0,1,0,5,14,24,Clint Capela,ATL
"Fri, Dec 8",@ PHI,30,6,12,0,0,3,4,16,2,2,0,1,5,15,33,Clint Capela,ATL
"Wed, Dec 6",vs. BKN,29,4,6,0,0,1,2,12,1,1,0,2,5,9,22,Clint Capela,ATL
"Sat, Dec 2",@ MIL,30,4,13,0,0,2,2,17,4,2,1,3,4,10,31,Clint Capela,ATL
"Thu, Nov 30",@ SAS,23,6,9,0,0,0,0,9,1,2,0,1,4,12,22,Clint Capela,ATL
"Tue, Nov 28",@ CLE,22,6,10,0,0,2,2,9,0,2,2,2,1,14,23,Clint Capela,ATL
"Sun, Nov 26",@ BOS,21,1,5,0,0,2,6,8,1,1,1,2,0,4,13,Clint Capela,ATL
"Sat, Nov 25",@ WAS,18,6,14,0,0,0,2,11,1,0,0,0,2,12,24,Clint Capela,ATL
"Wed, Nov 22",vs. BKN,27,7,8,0,0,0,0,15,0,0,0,3,1,14,29,Clint Capela,ATL
"Tue, Nov 21",vs. IND,19,6,9,0,0,2,3,5,1,1,0,2,4,14,20,Clint Capela,ATL
"Fri, Nov 17",vs. PHI,29,7,11,0,0,3,5,11,2,0,1,1,3,17,30,Clint Capela,ATL
"Wed, Nov 15",vs. NYK,26,4,5,0,0,0,2,3,1,0,2,2,2,8,12,Clint Capela,ATL
"Tue, Nov 14",@ DET,27,3,4,0,0,2,2,8,1,3,2,3,5,8,17,Clint Capela,ATL
"Sat, Nov 11",vs. MIA,24,4,6,0,0,0,0,12,0,0,1,2,3,8,20,Clint Capela,ATL
"Thu, Nov 9",@ ORL,26,2,4,0,0,2,4,11,4,0,0,1,2,6,21,Clint Capela,ATL
"Mon, Nov 6",@ OKC,21,2,5,0,0,2,4,12,0,1,1,2,2,6,18,Clint Capela,ATL
"Sat, Nov 4",@ NOR,28,8,9,0,0,1,2,7,0,0,0,2,2,17,24,Clint Capela,ATL
"Wed, Nov 1",vs. WAS,21,4,6,0,0,2,2,11,0,0,1,0,0,10,21,Clint Capela,ATL
"Mon, Oct 30",vs. MIN,23,0,3,0,0,2,2,5,1,1,0,5,3,2,8,Clint Capela,ATL
